service	primaryClass	authTypes	actionCount	asyncActionCount	followUpActionCount	distinctRequiredScopes	top3Verbs
aimfox	LLM/dev accounts	api_key	11	0	0	0	get:4,list:4,add:1
airbrake	LLM/dev accounts	api_key	8	0	0	0	get:4,list:4
aircall	Communications	api_key	10	0	0	0	get:5,list:5
airtable	Business systems	api_key	14	0	12	0	create:4,get:3,update:3
aivoov	LLM/dev accounts	api_key	2	0	0	0	create:1,list:1
alchemy	Domain connectors	api_key	5	0	0	0	get:5
algo_docs	Business systems	api_key	6	0	0	0	list:3,get:2,upload:1
algolia	Cloud/FinOps	api_key	9	0	0	6	save:2,add:1,browse:1
aliyun_oss	Cloud/FinOps	custom_credential	6	0	0	0	list:2,delete:1,generate:1
aliyun_sts	Cloud/FinOps	custom_credential	1	0	0	0	assume:1
alpaca	Domain connectors	api_key	22	0	0	0	get:14,list:8
alpha_vantage	Domain connectors	api_key	44	0	0	0	get:42,call:1,search:1
alt_text_ai	LLM/dev accounts	api_key	7	0	0	0	get:2,create:1,delete:1
amap	Domain connectors	api_key	15	0	0	0	route:5,search:3,district:1
amara	Business systems	api_key	33	0	0	0	get:10,list:10,create:3
ambee	Domain connectors	api_key	5	0	0	0	get:3,geocode:1,reverse:1
ambient_weather	Domain connectors	api_key	3	0	0	0	get:2,list:1
amplemarket	Business systems	api_key	11	0	0	0	list:5,get:4,complete:1
amplitude	Cloud/FinOps	api_key	4	0	0	0	get:2,list:1,search:1
anchor_browser	LLM/dev accounts	api_key	3	0	0	0	get:2,start:1
anrok	Domain connectors	api_key	7	0	0	0	list:5,get:2
anthropic	LLM/dev accounts	api_key	4	0	0	0	count:1,create:1,get:1
anthropic_admin	LLM/dev accounts	api_key	6	0	0	0	list:5,get:1
apaleo	Business systems	oauth2	29	0	0	12	create:5,list:5,check:4
api_bible	Cloud/FinOps	api_key	8	0	0	0	list:4,get:3,search:1
api_ninjas	Cloud/FinOps	api_key	6	0	0	0	weather:2,air:1,geocode:1
api_sports	Cloud/FinOps	api_key	14	0	0	0	football:14
api_void	Cloud/FinOps	api_key	5	0	0	0	check:3,get:1,verify:1
api2pdf	Business systems	api_key	1	0	0	0	markdown:1
apiflash	LLM/dev accounts	api_key	3	0	0	0	get:2,capture:1
apify	Cloud/FinOps	api_key	5	0	0	0	get:4,run:1
apipie_ai	LLM/dev accounts	api_key	4	0	0	0	create:2,list:2
apiverve	Cloud/FinOps	api_key	9	0	0	0	get:3,lookup:2,calculate:1
apollo	Business systems	api_key	5	0	0	0	enrich:2,search:2,get:1
appdrag	Cloud/FinOps	api_key	1	0	0	0	execute:1
appstle_subscriptions	Business systems	api_key	4	0	0	0	get:2,list:2
appveyor	LLM/dev accounts	api_key	6	0	0	0	get:6
arxiv	Cloud/FinOps	no_auth	8	0	0	0	search:5,get:2,list:1
asana	Business systems	api_key	10	0	0	0	get:3,list:3,create:2
ashby	Business systems	api_key	4	0	0	2	list:2,key:1,search:1
asin_data_api	Business systems	api_key	6	0	0	0	list:2,clear:1,delete:1
assemblyai	LLM/dev accounts	api_key	6	0	0	0	get:3,create:1,delete:1
atlas_so	Communications	api_key	10	0	0	0	list:3,get:2,upsert:2
attention	Communications	api_key	5	0	0	0	list:3,ask:1,get:1
attio	Business systems	api_key	10	0	0	3	list:3,get:2,create:1
auth0_management	Cloud/FinOps	api_key	15	0	0	0	list:8,get:2,remove:2
autobound	Business systems	api_key	6	0	0	0	enrich:2,search:2,get:1
autom	Business systems	api_key	4	0	0	0	find:3,get:1
autotask	Business systems	api_key	4	0	0	0	get:3,query:1
aviationstack	Cloud/FinOps	api_key	9	0	0	0	list:7,search:2
avoma	Communications	api_key	9	0	0	0	get:6,list:3
aws_s3	Cloud/FinOps	custom_credential	6	0	0	0	list:2,delete:1,generate:1
aws_sts	Cloud/FinOps	custom_credential	1	0	0	0	assume:1
axiom	Cloud/FinOps	api_key	5	0	0	0	create:1,delete:1,get:1
ayrshare	Business systems	api_key	11	0	0	0	get:3,check:1,delete:1
baidu_maps	Domain connectors	api_key	14	0	0	0	route:4,search:3,district:1
balldontlie_worldcup	Cloud/FinOps	api_key	20	0	0	0	list:19,get:1
bamboohr	Business systems	api_key	4	0	0	0	get:2,list:2
bannerbear	Business systems	api_key	5	0	0	0	get:3,create:1,list:1
baremetrics	Domain connectors	api_key	12	0	0	0	list:5,create:3,update:3
bark	Communications	api_key	4	0	0	0	send:3,get:1
baselinker	Business systems	api_key	6	0	0	0	list:6
baserow	Business systems	api_key	7	0	6	0	list:3,create:1,delete:1
basin	Business systems	api_key	18	0	0	0	delete:4,get:4,list:4
beaconchain	LLM/dev accounts	api_key	5	0	0	0	get:4,list:1
beamer	Communications	api_key	4	0	0	0	count:1,create:1,get:1
beehiiv	Business systems	api_key	6	0	0	0	get:3,list:3
beeminder	Business systems	api_key	8	0	0	0	list:3,get:2,create:1
benchmark_email	Communications	api_key	4	0	0	0	get:4
benzinga	Domain connectors	api_key	4	0	0	0	list:3,get:1
bestbuy	Cloud/FinOps	api_key	8	0	0	0	get:8
better_proposals	Communications	api_key	20	0	0	0	list:12,get:8
better_stack	LLM/dev accounts	api_key	7	0	3	0	list:3,acknowledge:1,create:1
bettercontact	Business systems	api_key	3	0	0	0	get:2,submit:1
bidsketch	Business systems	api_key	6	0	0	0	get:3,list:3
big_commerce	Business systems	api_key	5	0	0	0	create:1,delete:1,get:1
big_data_cloud	Cloud/FinOps	api_key	4	0	0	0	get:3,reverse:1
bigmailer	Communications	api_key	13	0	0	0	get:3,list:3,create:2
bigpicture_io	Business systems	api_key	2	0	0	0	find:2
bird	Communications	api_key	12	0	0	0	get:3,list:3,send:2
bitly	Business systems	api_key	6	0	0	0	get:3,list:1,shorten:1
bitquery	Cloud/FinOps	api_key	1	0	0	0	run:1
bitrise	LLM/dev accounts	api_key	4	0	0	0	list:2,get:1,trigger:1
bland_ai	LLM/dev accounts	api_key	5	0	0	0	get:3,list:2
blaze_meter_functional	LLM/dev accounts	api_key	3	0	0	0	get:2,list:1
blaze_meter_performance	LLM/dev accounts	api_key	6	0	0	0	list:4,get:2
blaze_meter_service_virtualization	LLM/dev accounts	api_key	3	0	0	0	get:1,list:1,update:1
blocknative	Cloud/FinOps	api_key	4	0	0	0	get:2,list:2
bluesky	Communications	api_key	3	0	0	0	create:1,get:1,search:1
bolna	Communications	api_key	6	0	0	0	get:4,list:2
boloforms	Business systems	api_key	4	0	0	0	list:2,get:1,send:1
bookingmood	Business systems	api_key	3	0	0	0	list:2,query:1
booqable	Business systems	api_key	10	0	0	0	get:4,list:3,search:3
bot_star	Communications	api_key	21	0	0	0	create:5,get:4,list:4
botpress	LLM/dev accounts	api_key	3	0	0	0	list:2,get:1
botsonic	Communications	api_key	4	0	0	0	list:2,generate:1,get:1
bouncer	Communications	api_key	13	0	0	0	get:5,verify:3,create:2
boxhero	Document/storage	api_key	4	0	0	0	get:2,list:2
brandfetch	Business systems	api_key	2	0	0	0	get:2
brave_search	Cloud/FinOps	api_key	4	0	0	0	image:1,news:1,video:1
braze	Business systems	api_key	4	0	0	4	get:2,list:2
breathe	Business systems	api_key	5	0	0	0	list:3,get:2
breeze	Communications	api_key	5	0	0	0	list:4,get:1
brevo	Communications	api_key	12	0	0	0	list:4,create:2,get:2
brex	Domain connectors	api_key	9	0	0	0	list:5,get:4
bright_data	Cloud/FinOps	api_key	6	0	0	0	get:4,list:2
browse_ai	LLM/dev accounts	api_key	6	0	2	0	get:2,list:2,run:1
browserbase	LLM/dev accounts	api_key	11	0	1	0	get:4,create:2,list:2
browserless	Cloud/FinOps	api_key	3	0	0	0	fetch:1,generate:1,take:1
btcpay_server	Domain connectors	api_key	7	0	0	0	get:2,list:2,create:1
bug_herd	Business systems	api_key	14	0	0	0	list:5,create:4,get:2
bugbug	LLM/dev accounts	api_key	8	0	1	0	list:4,get:3,run:1
bugsnag	Cloud/FinOps	api_key	7	0	0	0	list:5,get:2
builder_io	Business systems	api_key	5	0	0	0	create:1,delete:1,get:1
buildium	Business systems	api_key	7	0	0	0	list:4,get:3
buildkite	LLM/dev accounts	api_key	12	0	7	5	get:5,list:4,cancel:1
builtwith	Cloud/FinOps	api_key	5	0	0	0	lookup:4,get:1
bunnycdn	Document/storage	api_key	3	0	0	0	get:1,list:1,purge:1
businessmap	Domain connectors	api_key	10	0	0	0	list:3,create:2,get:2
buttondown	Communications	api_key	12	0	0	0	get:3,list:3,create:2
byteforms	Business systems	api_key	3	0	0	0	list:2,get:1
cal	Communications	oauth2	47	0	0	8	get:9,retrieve:6,update:6
calendarific	Business systems	api_key	3	0	0	0	list:2,get:1
calendly	Business systems	oauth2+api_key	37	0	0	10	list:13,get:12,create:6
callerapi	Communications	api_key	2	0	0	0	get:2
callingly	Communications	api_key	12	0	0	0	list:5,get:4,create:1
callpage	Communications	api_key	7	0	0	3	get:3,list:3,create:1
callrail	Communications	api_key	6	0	0	0	list:4,get:2
campaign_cleaner	LLM/dev accounts	api_key	7	0	0	0	get:4,delete:1,list:1
canny	Business systems	api_key	11	0	0	0	list:4,create:3,retrieve:3
canva	Business systems	oauth2	13	2	0	8	get:6,create:4,list:2
capsule_crm	Business systems	api_key	25	0	0	0	list:10,get:4,create:3
carbone	Business systems	api_key	5	0	0	0	list:3,delete:1,update:1
cardly	Business systems	api_key	7	0	0	0	list:5,echo:1,get:1
cats	Business systems	api_key	10	0	0	0	get:4,list:3,search:3
celigo	LLM/dev accounts	api_key	8	0	0	0	get:5,list:3
census_bureau	Cloud/FinOps	api_key	5	0	0	0	list:3,get:1,query:1
censys	Cloud/FinOps	api_key	3	0	0	0	get:3
central_station_crm	Business systems	api_key	19	0	0	0	get:4,create:3,delete:3
certifier	Communications	api_key	6	0	0	0	list:4,create:1,search:1
certn	Business systems	api_key	10	0	0	0	list:7,get:3
chargebee	Domain connectors	api_key	9	0	0	0	get:4,list:4,create:1
chartmogul	Domain connectors	api_key	5	0	0	0	list:3,get:2
chaserhq	Domain connectors	api_key	8	0	0	0	get:5,list:3
chatarmin	Communications	api_key	23	0	0	0	get:6,list:5,create:3
chatbotkit	Communications	api_key	27	0	0	0	list:7,create:6,fetch:5
chatpdf	Communications	api_key	3	0	0	0	add:1,chat:1,delete:1
chattermill	Communications	api_key	22	0	0	0	get:9,list:9,create:1
chatwork	Communications	api_key	15	0	0	0	get:5,list:5,update:2
check	Domain connectors	api_key	3	0	0	0	get:1,list:1,validate:1
checkly	LLM/dev accounts	api_key	7	0	0	0	get:4,list:3
chorus	Communications	api_key	6	0	0	0	get:3,list:3
cin7_core	Domain connectors	api_key	5	0	0	0	get:3,list:2
cincopa	Document/storage	api_key	4	0	0	0	list:4
circle	Communications	api_key	8	0	0	0	get:4,list:4
circleci	LLM/dev accounts	api_key	11	0	3	0	get:6,list:4,trigger:1
claid_ai	LLM/dev accounts	api_key	3	2	1	1	edit:1,get:1,submit:1
clari_copilot	Business systems	api_key	5	0	0	0	list:4,get:1
classmarker	Business systems	api_key	5	0	0	0	list:5
clearout	Business systems	api_key	8	0	0	0	verify:6,get:1,instant:1
clerk	Cloud/FinOps	api_key	11	0	0	0	update:2,ban:1,count:1
clickhouse	Cloud/FinOps	custom_credential	5	0	0	0	get:2,list:2,execute:1
clickmeeting	Communications	api_key	19	0	0	0	list:11,get:2,create:1
clicksend	Communications	api_key	13	0	0	0	get:3,create:2,delete:2
clickup	Business systems	oauth2+api_key	68	0	0	2	get:23,create:12,delete:9
clockify	Business systems	api_key	12	0	5	0	list:4,create:3,get:3
close	Business systems	api_key	16	0	0	0	create:4,get:4,list:4
cloudconvert	Cloud/FinOps	api_key	14	0	4	3	get:3,list:3,create:2
cloudflare_browser_rendering	Cloud/FinOps	api_key	6	0	0	0	get:4,list:1,scrape:1
cloudflare_dns	Cloud/FinOps	api_key+oauth2	8	0	0	3	list:3,get:2,create:1
cloudflare_r2	Cloud/FinOps	custom_credential+oauth2	9	0	0	2	delete:2,get:2,list:2
cloudflare_worker	Cloud/FinOps	custom_credential+oauth2	19	0	0	2	get:4,list:4,delete:3
cloudinary	Document/storage	api_key	5	0	0	0	get:1,list:1,rename:1
cloudlayer	Cloud/FinOps	api_key	8	0	0	0	create:3,get:3,list:2
cockroach_labs	Cloud/FinOps	api_key	7	0	0	0	list:5,get:2
coda	Business systems	api_key	11	0	0	0	list:5,get:4,create:1
codacy	LLM/dev accounts	api_key	8	0	0	0	list:5,get:3
codegen	LLM/dev accounts	api_key	6	0	0	0	list:4,get:2
codemagic	LLM/dev accounts	api_key	8	0	0	0	list:4,get:2,cancel:1
coderabbit	LLM/dev accounts	api_key	13	0	0	0	list:4,get:3,update:2
cohere	LLM/dev accounts	api_key	3	0	0	0	chat:1,embed:1,rerank:1
coinbase	Domain connectors	api_key	2	0	0	0	get:1,list:1
coinmarketcal	Domain connectors	api_key	5	0	0	0	list:5
coinmarketcap	Domain connectors	api_key	6	0	0	0	get:4,convert:1,list:1
coinranking	Domain connectors	api_key	6	0	0	0	get:4,list:1,search:1
college_football_data	Cloud/FinOps	api_key	5	0	0	0	list:4,get:1
collegiate	Cloud/FinOps	api_key	1	0	0	0	lookup:1
companycam	Business systems	api_key	15	0	0	0	get:5,list:3,create:2
companyenrich	Business systems	api_key	6	0	0	0	enrich:2,count:1,find:1
conductor	Business systems	api_key	7	0	0	0	list:5,get:2
configcat	Business systems	api_key	7	0	0	0	list:5,get:2
confluence	Business systems	api_key	5	0	0	0	create:1,get:1,list:1
contactout	Business systems	api_key	15	0	0	0	enrich:4,check:3,get:3
contentful	Business systems	api_key	8	0	0	0	list:4,get:2,create:1
contentful_graphql	Business systems	api_key	1	0	0	0	execute:1
contentstack_content_delivery	Business systems	api_key	5	0	0	0	list:3,get:2
contentstack_content_management	Business systems	api_key	6	0	0	0	get:2,list:2,create:1
context7	LLM/dev accounts	api_key	2	0	0	0	get:1,search:1
control_d	Cloud/FinOps	api_key	8	0	0	0	list:4,get:2,delete:1
convertapi	Business systems	api_key	1	0	0	0	convert:1
convex	LLM/dev accounts	oauth2+api_key	23	0	0	13	list:6,delete:4,get:4
coresignal	Cloud/FinOps	api_key	3	0	1	0	collect:1,preview:1,search:1
countdown_api	Business systems	api_key	4	0	0	0	get:2,autocomplete:1,search:1
courier	Communications	api_key	11	0	0	0	delete:2,get:2,list:2
craftmypdf	Business systems	api_key	4	0	0	0	get:2,create:1,list:1
crisp	Communications	api_key	5	0	0	0	get:2,list:2,send:1
cronitor	LLM/dev accounts	api_key	5	0	0	0	create:1,delete:1,get:1
crowdin	Communications	oauth2+api_key	7	0	0	3	list:4,create:2,upload:1
crunchbase	Business systems	api_key	3	0	0	0	autocomplete:1,get:1,search:1
crustdata	Business systems	api_key	4	0	0	0	autocomplete:1,enrich:1,identify:1
currencyapi	Domain connectors	api_key	5	0	0	0	get:4,convert:1
currencyscoop	Domain connectors	api_key	5	0	0	0	get:4,convert:1
currents_api	Domain connectors	api_key	5	0	0	0	list:3,get:1,search:1
cursor	LLM/dev accounts	api_key	4	0	0	0	get:2,list:2
customerio	Business systems	custom_credential	7	0	0	0	track:2,delete:1,identify:1
customgpt	LLM/dev accounts	api_key	7	0	0	0	list:4,create:1,get:1
cutt_ly	Business systems	api_key	2	0	0	0	get:1,shorten:1
cyberimpact	Business systems	api_key	15	0	0	0	create:3,delete:3,get:3
dadata_ru	Domain connectors	api_key	5	0	0	0	suggest:5
daffy	Domain connectors	api_key	10	0	0	0	get:5,list:4,search:1
dailybot	LLM/dev accounts	api_key	10	0	0	0	get:4,list:3,send:2
dart	Business systems	api_key	6	0	0	0	get:2,create:1,delete:1
data247	Communications	api_key	5	0	0	0	check:2,append:1,get:1
databar_ai	LLM/dev accounts	api_key	11	0	0	0	get:5,list:2,run:2
databox	Document/storage	api_key	7	0	0	0	create:2,delete:2,get:1
databricks	Cloud/FinOps	api_key	36	0	0	0	list:8,workspace:6,get:5
datadog	Cloud/FinOps	api_key	7	0	0	0	get:2,list:2,query:1
dataforseo	Business systems	custom_credential	14	0	0	0	backlinks:4,keyword:3,ads:1
datalust	Cloud/FinOps	api_key	15	0	3	0	get:3,create:2,delete:2
datascope	Business systems	api_key	9	0	0	0	list:4,create:2,update:2
deck_co	LLM/dev accounts	api_key	6	0	0	0	get:2,list:2,create:1
deepgram	LLM/dev accounts	api_key	8	0	0	0	list:5,get:3
deepl	Business systems	api_key	3	0	0	0	get:1,list:1,translate:1
deepseek	LLM/dev accounts	api_key	4	0	0	0	create:2,get:1,list:1
delighted	Business systems	api_key	8	0	0	0	list:4,create:1,delete:1
demodesk	Business systems	api_key	8	0	0	0	list:4,get:3,batch:1
desktime	Business systems	api_key	5	0	0	0	get:2,list:2,create:1
detect_language	Cloud/FinOps	api_key	4	0	0	0	detect:2,get:1,list:1
devin	LLM/dev accounts	api_key	6	0	0	0	get:2,create:1,list:1
devto	Domain connectors	api_key	12	0	0	0	list:6,get:4,create:1
dialpad_wfm	Business systems	api_key	3	0	0	0	list:2,get:1
dida365	Business systems	oauth2	19	0	0	2	get:5,list:4,create:3
diffbot	Cloud/FinOps	api_key	1	0	0	0	extract:1
digital_ocean	Document/storage	api_key	11	0	0	9	list:8,get:2,manage:1
dingtalk_bot	Communications	api_key	5	0	0	0	send:5
discolike	Business systems	api_key	7	0	0	0	get:5,count:1,discover:1
discord	Communications	oauth2	19	0	0	7	get:13,list:3,delete:1
discordbot	Communications	api_key	15	0	0	0	get:9,list:3,create:1
discourse	Communications	api_key	7	0	7	0	list:3,create:2,get:1
dixa	Communications	api_key	7	0	0	0	list:4,get:3
dns_filter	Cloud/FinOps	api_key	9	0	0	0	list:6,get:3
docker_hub	LLM/dev accounts	api_key	14	0	0	0	list:5,get:4,remove:2
docmosis	Business systems	api_key	6	0	0	0	get:3,check:1,list:1
docparser	Business systems	api_key	10	0	0	0	get:4,fetch:1,list:1
docraptor	Business systems	api_key	1	0	0	0	create:1
docsautomator	Business systems	api_key	7	2	1	0	get:3,create:2,list:2
docsbot_ai	LLM/dev accounts	api_key	6	0	0	0	get:2,list:2,fetch:1
docsend_2_pdf	Business systems	no_auth	1	0	0	0	convert:1
docsumo	Business systems	api_key	6	0	0	0	get:4,list:1,upload:1
docugenerate	Business systems	api_key	7	0	0	0	get:2,list:2,delete:1
documenso	Communications	api_key	4	0	0	0	get:2,list:2
document360	Document/storage	api_key	4	0	0	0	list:2,get:1,search:1
docuseal	Communications	api_key	3	0	0	0	create:1,get:1,list:1
dokploy	Cloud/FinOps	api_key	524	0	0	0	compose:30,update:25,get:23
doppler	Cloud/FinOps	api_key	44	0	0	0	get:9,list:9,update:8
dovetail	LLM/dev accounts	api_key	7	0	0	0	get:2,list:2,create:1
drata	Business systems	api_key	8	0	0	0	get:4,list:4
dropbox	Document/storage	oauth2	24	0	0	6	get:6,list:4,create:2
dropbox_sign	Document/storage	api_key	5	0	0	0	get:3,list:2
dropcontact	Business systems	api_key	2	2	1	0	get:1,submit:1
dub	Business systems	api_key	15	0	0	0	create:3,delete:3,list:3
dune	Cloud/FinOps	api_key	6	1	1	1	get:4,execute:1,list:1
dynatrace	Cloud/FinOps	api_key	3	0	0	2	list:2,get:1
e2b	LLM/dev accounts	api_key	4	0	0	0	create:1,delete:1,get:1
eagle_doc	Business systems	api_key	5	0	0	0	get:2,list:2,process:1
easypost	Business systems	api_key	6	0	0	0	create:2,get:2,list:2
ecologi	Cloud/FinOps	api_key	10	0	0	0	get:5,purchase:5
elasticsearch	Cloud/FinOps	api_key+custom_credential	4	0	0	0	get:1,list:1,ping:1
elevenlabs	LLM/dev accounts	api_key	14	0	0	0	get:9,text:2,create:1
elevenreader	LLM/dev accounts	api_key	5	0	0	0	get:3,read:1,search:1
elevio	Communications	api_key	5	0	0	0	get:2,list:2,search:1
elorus	Business systems	api_key	12	0	0	0	create:3,get:3,list:3
emailable	Communications	api_key	4	0	0	0	get:2,verify:2
emaillistverify	Communications	api_key	8	0	0	0	get:2,verify:2,check:1
emailoctopus	Communications	api_key	9	0	0	0	get:3,list:3,create:1
encharge	Communications	api_key	1	0	0	0	send:1
encodian	Business systems	api_key	5	0	0	0	compress:1,extract:1,get:1
energy_performance_certificates	Cloud/FinOps	api_key	4	0	0	0	search:3,get:1
enigma	Cloud/FinOps	api_key	12	0	0	0	get:6,create:2,search:2
envoy	Business systems	api_key	8	0	0	0	get:4,list:4
eodhd_apis	Domain connectors	api_key	8	0	0	0	get:6,list:1,search:1
erpnext	Business systems	api_key	9	0	0	0	get:4,create:1,delete:1
esignatures_io	Business systems	api_key	8	0	0	0	get:4,create:2,list:1
espocrm	Business systems	api_key	7	0	0	0	get:3,create:1,delete:1
evenium	Communications	api_key	6	0	0	0	get:4,list:2
eventee	Communications	api_key	5	0	0	0	list:4,get:1
eventzilla	Business systems	api_key	9	0	0	0	list:5,get:4
everhour	Business systems	api_key	12	0	0	0	get:4,list:4,create:1
exa	Cloud/FinOps	api_key	4	0	0	0	answer:1,find:1,get:1
excel	Business systems	oauth2	31	0	0	1	get:5,list:5,add:4
expofp	Business systems	api_key	7	0	0	0	get:2,list:2,add:1
fairing	LLM/dev accounts	api_key	1	0	0	0	list:1
fal_ai	LLM/dev accounts	api_key	8	0	0	0	get:4,queue:2,cancel:1
faraday	Cloud/FinOps	api_key	12	0	0	0	get:6,list:6
fathom	Cloud/FinOps	api_key	15	0	0	0	get:5,create:3,list:3
feathery	Business systems	api_key	13	0	0	0	get:4,create:3,list:3
featurebase	Business systems	api_key	11	0	0	0	get:3,list:3,delete:2
feishu	Document/storage	oauth2	7	0	0	2	get:3,list:3,search:1
feishu_app_bot	Communications	custom_credential	20	0	0	12	list:5,download:2,get:2
feishu_custom_bot	Communications	api_key	5	0	0	0	send:5
fellow	Communications	api_key	7	0	0	0	get:3,list:2,archive:1
felt	Business systems	api_key	12	0	0	0	get:3,create:2,delete:2
fern	Domain connectors	api_key	7	0	0	4	get:4,list:3
ffhub	Document/storage	api_key	3	0	1	0	create:1,get:1,list:1
fiber_ai	LLM/dev accounts	api_key	3	0	0	0	get:2,list:1
fidel_api	Domain connectors	api_key	6	0	0	0	get:3,list:3
figma	Business systems	api_key+oauth2	26	0	0	12	get:10,list:8,delete:3
files_com	Document/storage	api_key	5	0	0	0	create:1,delete:1,get:1
fillout	Business systems	api_key	6	0	0	0	get:2,list:2,create:1
finage	Domain connectors	api_key	6	0	0	0	get:5,list:1
financial_modeling_prep	LLM/dev accounts	api_key	37	0	0	0	get:33,search:3,list:1
findymail	Communications	api_key	5	0	0	0	search:3,get:1,verify:1
fireberry	Business systems	api_key	11	0	0	0	create:2,delete:2,get:2
firecrawl	Cloud/FinOps	api_key	30	0	0	0	crawl:8,batch:4,get:3
fireflies	Communications	api_key	22	0	0	0	list:7,get:5,update:3
firehydrant	Business systems	api_key	7	0	0	0	get:3,list:3,create:1
firstbase	Business systems	api_key	6	0	0	0	list:4,get:2
fivetran	Cloud/FinOps	custom_credential	6	0	3	0	get:3,list:3
fixer	Domain connectors	api_key	3	0	0	0	get:3
flagsmith	LLM/dev accounts	api_key	4	0	0	0	get:2,identify:1,list:1
float	Business systems	api_key	5	0	0	0	list:5
flomo	Business systems	api_key+custom_credential	13	0	0	0	memo:4,get:3,tag:3
flowiseai	LLM/dev accounts	api_key	2	0	0	0	get:1,send:1
fluxguard	Cloud/FinOps	api_key	12	0	0	0	delete:3,get:3,list:2
fly	LLM/dev accounts	api_key	9	0	0	0	get:2,list:2,create:1
folk	Communications	api_key	15	0	0	0	list:5,get:4,create:2
fomo	Business systems	api_key	5	0	0	0	create:1,delete:1,get:1
football_data	Cloud/FinOps	api_key	6	0	0	0	list:4,get:2
forem	Domain connectors	api_key	10	0	0	0	get:4,list:4,create:1
formbricks	Business systems	api_key	7	0	0	0	create:2,get:2,delete:1
formcarry	Business systems	api_key	3	0	0	0	create:1,delete:1,list:1
formsite	Business systems	api_key	7	0	0	0	get:3,list:2,delete:1
formspree	Business systems	api_key	1	0	0	0	list:1
foursquare	Domain connectors	api_key	5	0	0	0	get:4,search:1
fraudlabspro	Cloud/FinOps	api_key	3	0	0	0	feedback:1,get:1,screen:1
freepik	LLM/dev accounts	api_key	3	0	0	0	download:1,get:1,search:1
freshdesk	Communications	api_key	4	0	0	0	get:2,list:2
freshsales	Business systems	api_key	6	0	0	0	list:2,create:1,delete:1
freshservice	Communications	api_key	6	0	0	0	list:3,create:2,get:1
freshteam	Business systems	api_key	9	0	0	0	list:7,get:2
front	Communications	api_key	5	0	0	0	list:2,create:1,get:1
fullenrich	Business systems	api_key	3	0	0	0	lookup:2,get:1
fusion-api	LLM/dev accounts	api_key	84	21	21	0	qwen:16,fal:15,wanx:15
fuxin	Cloud/FinOps	custom_credential	22	0	0	0	get:3,convert:2,create:2
gamma	Business systems	api_key	8	0	0	0	create:4,list:2,get:1
geckoboard	Business systems	api_key	4	0	0	0	append:1,delete:1,find:1
gem	Business systems	api_key	9	0	0	0	list:6,get:3
gemini	LLM/dev accounts	api_key	8	0	0	0	generate:3,count:1,embed:1
gender_api	Cloud/FinOps	api_key	5	0	0	0	query:3,get:2
genderapi_io	Cloud/FinOps	api_key	3	0	0	0	get:3
genderize	Cloud/FinOps	api_key	2	0	0	0	predict:2
geoapify	Domain connectors	api_key	5	0	0	0	get:2,address:1,forward:1
geocodio	Domain connectors	api_key	4	0	0	0	single:2,batch:1,geocode:1
geokeo	Domain connectors	api_key	2	0	0	0	geocode:2
getform	Business systems	api_key	2	0	0	0	list:1,submit:1
getnote	Business systems	api_key	23	2	0	0	list:8,get:4,add:2
getprospect	Business systems	api_key	5	0	0	0	search:2,find:1,lookup:1
ghost	Business systems	api_key	9	0	0	0	get:4,list:4,read:1
